state,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
Minnesota,72.9,2.2,72.3,2.2,74.3,2.2,70.9,2.2,2010
Mississippi,74,3.6,72.9,3.6,77.5,3.4,74.6,3.5,2010
Missouri,70.9,2.6,70.4,2.6,71.9,2.5,71.7,2.6,2010
Montana,69.5,3.3,69.3,3.3,67,3.4,66.7,3.4,2010
Nebraska,70.6,2.8,69.2,2.8,70.5,2.8,71.2,2.8,2010
Nevada,60.9,3,59.9,3,59.7,3,58.5,3,2010
New Hampshire,75.8,2.2,74.8,2.3,74.9,2.3,74,2.3,2010
New Jersey,67.3,2.5,68.5,2.5,64,2.6,66.2,2.5,2010
New Mexico,69.5,3.6,68,3.7,67.5,3.7,69.5,3.6,2010
New York,54.4,1.8,53.9,1.8,54.6,1.8,54.9,1.8,2010
North Carolina,68.4,2.5,70.1,2.4,70.7,2.4,68.7,2.5,2010
North Dakota,68.3,3.2,66.5,3.3,65.5,3.3,68.2,3.3,2010
Ohio,70.2,2.1,69.5,2,70.1,2,69.2,2.1,2010
Oklahoma,68.4,3.3,68.5,3.3,69.7,3.2,70,3.2,2010
Oregon,65.8,3.1,65.5,3.1,66.7,3.1,67,3.1,2010
Pennsylvania,72.9,2,72.2,2,71.8,2,71.7,2,2010
Rhode Island,63.5,2.7,63.7,2.8,62.9,2.8,61.1,2.7,2010
South Carolina,73.6,3,75.4,2.9,76.4,2.9,73.8,3,2010
South Dakota,71.3,2.8,70.5,2.8,70.8,2.8,70,2.8,2010
Tennessee,70.9,2.9,71,2.9,71.7,2.9,70.5,2.9,2010
Texas,66,1.6,66.3,1.6,64.7,1.6,64.4,1.6,2010
Utah,73.9,3.1,71.6,3.2,72.9,3.1,71.5,3.2,2010
Vermont,75.3,2.8,73.1,2.9,73.2,2.9,72.9,2.9,2010
Virginia,68.1,2.4,68.6,2.4,69.1,2.4,69.1,2.4,2010
Washington,64.9,2.7,64.3,2.7,63.9,2.7,64.7,2.7,2010
West Virginia,79.4,2.9,78.7,2.9,78.2,3,79.7,2.9,2010
Wisconsin,70.9,2.5,70,2.5,71.7,2.5,71.2,2.5,2010
Wyoming,74.2,3,72.5,3.1,74.2,3,72.8,3.1,2010
Alabama,72.9,3.3,73.7,3.3,75.2,3.2,74.5,3.3,2009
Alaska,66.9,3.2,67.3,3.2,68.2,3.2,64.8,3.3,2009
Arizona,69.7,3,69,3,68.3,3,68.8,3,2009
Arkansas,68.1,3.4,67.7,3.4,68.9,3.4,69.4,3.3,2009
California,56.8,1.3,56.9,1.3,57.3,1.3,56.8,1.3,2009
Colorado,69.8,2.5,68.9,2.5,67.4,2.5,67.8,2.5,2009
Connecticut,71,2.3,70.4,2.3,70.2,2.3,70.5,2.3,2009
Delaware,75.1,2.7,75.6,2.7,77.8,2.6,77.4,2.6,2009
